bulb_id,brand,type,wattage,lifespan_hours
1,Philips,LED,9,15000
2,Philips,LED,9,15200
3,Philips,LED,9,14800
4,Osram,LED,10,13500
5,Osram,LED,10,13700
6,Osram,LED,10,13900
7,GE,Incandescent,60,1200
8,GE,Incandescent,60,1150
9,GE,Incandescent,60,1180
10,Sylvania,CFL,13,8000
11,Sylvania,CFL,13,8200
12,Sylvania,CFL,13,7900
13,Philips,LED,9,15100
14,Osram,LED,10,13600
15,GE,Incandescent,60,1220
16,Sylvania,CFL,13,8100
17,Philips,LED,9,14950
18,Osram,LED,10,13800
19,GE,Incandescent,60,1170
20,Sylvania,CFL,13,8050
