HP,MPG,VOL,SP,WT
67,49.71353,89,113.7954,29.0962
70,48.76891,89,115.0582,27.92224
99,41.88908,92,122.16,29.3345
65,52.00287,90,114.0103,29.2451
64,51.6332,90,114.0261,29.01639
91,43.19635,90,120.8094,27.96453
63,51.4751,103,115.7112,32.95694
95,42.95551,89,120.237,27.75191
67,48.59257,103,115.5935,33.1834
60,52.86853,92,113.4174,28.64771
81,45.60115,90,119.1117,28.75255
68,50.89422,92,113.3386,29.65726
51,53.29663,89,110.3115,27.48632
62,50.23629,90,112.8342,29.70361
79,44.54537,107,117.4907,33.57216
89,43.88563,97,118.2223,30.42553
60,50.35541,107,111.5371,33.99198
74,48.97572,50,117.7092,15.94374
66,49.82077,50,115.8218,16.19349
55,55.10462,90,110.3403,29.36483
72,48.8477,107,114.5025,33.5226
92,42.77694,90,119.1334,28.13063
63,50.91711,91,113.1748,29.54415
69,48.38183,90,117.1758,28.72197
64,52.2459,94,113.9311,30.46405
84,42.92645,92,117.8031,28.49855
79,44.66403,50,118.1438,15.57404
65,49.32034,107,115.7812,34.70389
83,44.08518,50,116.3116,16.99576
81,44.40381,94,117.99,30.94119
79,44.84383,101,115.5471,31.981
72,49.81791,91,115.3822,29.66049
77,46.32888,101,116.7645,32.16418
60,53.73006,91,114.2623,28.32221
100,38.2646,92,121.9018,30.40164
61,53.62694,92,114.4432,28.90066
63,52.54708,90,114.1235,29.38621
91,44.53593,92,118.5822,28.6124
67,51.19417,103,114.4219,33.6567
62,50.75841,107,115.2413,33.50459
64,50.25679,50,114.7643,16.29235
62,51.73804,103,114.7208,32.91544
51,55.80618,107,112.604,34.21363
96,40.25001,103,119.6278,32.81946
58,53.57669,97,112.2401,31.04139
61,51.32632,107,113.3668,34.44066
89,43.96926,89,118.0402,28.35686
69,49.15672,97,113.3076,31.37401
96,41.67619,94,120.1039,29.59868
73,46.74729,101,117.3656,32.39758
78,46.58261,107,115.2817,33.51566
67,49.64459,90,114.0654,28.85684
74,47.36423,107,116.2663,33.56835
